Date,Year,Region,Product_Category,Units_Sold,Unit_Price,Total_Sales
01-01-2023,2023,West,Solar Panels,102,1232.55,125720.1
01-01-2023,2023,South,Solar Panels,296,755.52,223633.92
01-01-2023,2023,North,DC Breakers,375,890.48,333930
01-01-2023,2023,South,Monitoring Systems,282,665.37,187634.34
01-01-2023,2023,Central,Inverters,428,82.43,35280.04
02-01-2023,2023,West,PV Modules,356,171.03,60886.68
02-01-2023,2023,West,Mounting Structures,295,904.6,266857
02-01-2023,2023,North,Solar Panels,42,95.79,4023.18
03-01-2023,2023,South,Solar Panels,381,1102.49,420048.69
03-01-2023,2023,East,Solar Water Pumps,183,552.33,101076.39
03-01-2023,2023,Central,Smart Meters,157,1207.88,189637.16
04-01-2023,2023,West,Inverters,203,805.67,163551.01
04-01-2023,2023,East,Monitoring Systems,60,463.28,27796.8
04-01-2023,2023,East,Microinverters,292,967.95,282641.4
05-01-2023,2023,Central,Microinverters,338,501.19,169402.22
05-01-2023,2023,Central,PV Modules,461,1222.48,563563.28
05-01-2023,2023,West,Mounting Structures,141,578.21,81527.61
05-01-2023,2023,North,Microinverters,104,1114.84,115943.36
05-01-2023,2023,North,Solar Panels,446,1044.57,465878.22
05-01-2023,2023,North,Solar Water Pumps,407,358.31,145832.17
05-01-2023,2023,Central,Hybrid Inverters,198,1358.18,268919.64
05-01-2023,2023,West,Hybrid Inverters,457,604.37,276197.09
05-01-2023,2023,West,Monitoring Systems,278,736.84,204841.52
06-01-2023,2023,East,Hybrid Inverters,487,252.19,122816.53
06-01-2023,2023,Central,Solar Panels,352,493.07,173560.64
06-01-2023,2023,North,Microinverters,120,108.29,12994.8
06-01-2023,2023,Central,PV Modules,222,228.12,50642.64
07-01-2023,2023,South,Inverters,318,1373.42,436747.56
07-01-2023,2023,Central,Microinverters,284,873.51,248076.84
08-01-2023,2023,West,Solar Panels,224,1460.1,327062.4
08-01-2023,2023,Central,DC Breakers,18,285.85,5145.3
08-01-2023,2023,Central,Hybrid Inverters,461,1146.02,528315.22
09-01-2023,2023,East,Inverters,87,987.58,85919.46
09-01-2023,2023,Central,Solar Cables,237,883.62,209417.94
09-01-2023,2023,Central,PV Modules,36,1487.99,53567.64
09-01-2023,2023,Central,Microinverters,329,576.26,189589.54
09-01-2023,2023,Central,PV Modules,461,896.41,413245.01
10-01-2023,2023,South,Solar Cables,92,144.54,13297.68
10-01-2023,2023,East,Solar Panels,343,91.07,31237.01
10-01-2023,2023,South,Inverters,172,842.45,144901.4
10-01-2023,2023,South,Solar Panels,128,884.84,113259.52
10-01-2023,2023,Central,Charge Controllers,412,1363.86,561910.32
11-01-2023,2023,North,Monitoring Systems,251,1094.11,274621.61
11-01-2023,2023,North,Monitoring Systems,50,1395.18,69759
11-01-2023,2023,Central,DC Breakers,290,853.73,247581.7
11-01-2023,2023,East,Inverters,48,528.46,25366.08
11-01-2023,2023,West,Solar Panels,166,1379.47,228992.02
11-01-2023,2023,South,Hybrid Inverters,400,114.49,45796
11-01-2023,2023,East,Batteries,464,330.54,153370.56
11-01-2023,2023,South,PV Modules,174,1072.27,186574.98
11-01-2023,2023,West,Microinverters,367,785.68,288344.56
12-01-2023,2023,East,Smart Meters,463,592.42,274290.46
12-01-2023,2023,South,Batteries,147,810.8,119187.6
12-01-2023,2023,South,Hybrid Inverters,21,581.05,12202.05
12-01-2023,2023,South,Inverters,53,1165.68,61781.04
13-01-2023,2023,South,Solar Panels,419,139.7,58534.3
13-01-2023,2023,East,Inverters,47,785.49,36918.03
13-01-2023,2023,East,Monitoring Systems,494,999.22,493614.68
14-01-2023,2023,East,PV Modules,144,502.74,72394.56
14-01-2023,2023,North,Microinverters,221,488.76,108015.96
14-01-2023,2023,South,Monitoring Systems,149,929.46,138489.54
14-01-2023,2023,Central,Monitoring Systems,398,989.12,393669.76
14-01-2023,2023,Central,Inverters,331,674.83,223368.73
15-01-2023,2023,Central,Hybrid Inverters,493,723.19,356532.67
15-01-2023,2023,South,Solar Panels,375,625.54,234577.5
16-01-2023,2023,West,Inverters,114,549.55,62648.7
16-01-2023,2023,South,Monitoring Systems,378,483.72,182846.16
17-01-2023,2023,North,Solar Lights,131,236.12,30931.72
17-01-2023,2023,East,Batteries,227,1131.1,256759.7
18-01-2023,2023,West,PV Modules,277,983.03,272299.31
18-01-2023,2023,West,Charge Controllers,276,1253.44,345949.44
18-01-2023,2023,Central,Monitoring Systems,17,1226.1,20843.7
18-01-2023,2023,Central,Solar Water Pumps,77,53.87,4147.99
18-01-2023,2023,North,Solar Panels,251,832.1,208857.1
18-01-2023,2023,South,Solar Water Pumps,22,821.65,18076.3
18-01-2023,2023,South,Batteries,253,1282.81,324550.93
19-01-2023,2023,South,DC Breakers,136,1006.61,136898.96
19-01-2023,2023,North,Microinverters,326,1376.8,448836.8
19-01-2023,2023,North,Inverters,151,705.66,106554.66
20-01-2023,2023,East,Microinverters,455,1021.26,464673.3
20-01-2023,2023,North,Hybrid Inverters,312,420.35,131149.2
20-01-2023,2023,West,Energy Storage Units,442,577.16,255104.72
